,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
55,[11.65151028],[37.52871762],[51.82657803],[62.43343484],[72.0417975],[41.3160962],[73.0520237],[97.97125088],[77.02249146],[76.37020518],[71.19361841],[72.03189411],[64.60500843],[54.72169118],[35.2082025],[30.88328224],[118.67747332],[21.93697075],[12.42064202],[76.94829221],[33.87354047],[43.44647762],[48.90600762],[99.90464339],[57.93883298],[40.33153971]
56,[11.70009531],[38.16665527],[52.62744138],[63.28910237],[72.70191873],[41.79620011],[74.1527095],[99.02162905],[78.07500728],[76.97599701],[72.35404125],[73.4827143],[64.32362049],[55.64857962],[35.71905647],[31.07975173],[120.23484683],[22.22493886],[12.35073048],[78.31494479],[34.26303652],[44.02133064],[49.42435757],[101.10877514],[58.8900416],[40.93225198]
57,[11.62833542],[37.86037805],[52.49153699],[62.99185156],[72.5476206],[41.64468354],[73.65811301],[98.50813216],[77.60281797],[76.59641458],[71.94543119],[73.44311509],[63.34382935],[55.2244926],[35.53256273],[30.99539437],[119.45203695],[22.12502562],[12.22395163],[78.03150331],[34.06544441],[43.91477937],[49.17328568],[100.64848192],[58.649234],[40.71651917]
58,[11.64739879],[37.94377691],[52.37600466],[62.78788972],[72.25888954],[41.54270379],[73.69019978],[98.29307205],[77.74554085],[76.32501471],[71.7941914],[72.95266388],[63.3629422],[55.09245008],[35.15782831],[30.952844],[118.82659617],[22.17106759],[12.26723726],[77.38577035],[34.03026051],[43.44217628],[49.06241673],[101.15541389],[58.5241241],[40.64542983]
59,[11.57663545],[38.11826704],[52.43034875],[62.85813116],[72.78309927],[41.77008569],[73.53636604],[98.47854334],[77.61694051],[76.19807405],[72.35327574],[73.2679966],[66.66352279],[55.28932492],[35.51283384],[30.93330086],[119.08832908],[22.34908751],[13.03821153],[77.75050949],[34.11258811],[43.66115168],[48.98479007],[101.9038638],[58.89233373],[40.78652286]
60,[11.40855874],[38.10228559],[52.76155602],[63.2173753],[73.0034843],[42.01958803],[73.79560714],[98.68888269],[77.83742265],[76.28425505],[72.17763779],[73.07075431],[65.93073314],[55.31191395],[35.55185264],[30.87959479],[119.08641861],[22.67181819],[13.30446929],[78.44558455],[34.29806336],[43.80533333],[49.18532652],[101.7821508],[59.09715781],[40.8457578]
61,[11.8006483],[37.79452031],[53.09986167],[63.15282373],[72.82083921],[42.15219591],[73.95093882],[98.86274197],[77.4759515],[76.88178109],[71.73275621],[73.23827595],[65.53632741],[55.26770214],[36.04832318],[31.09535303],[118.7178387],[22.34730525],[13.32510887],[78.51167623],[34.56331762],[44.18637587],[49.00623075],[102.88072408],[58.7961659],[40.91857365]
62,[11.55057646],[37.25899848],[51.99001303],[62.35968281],[71.49805823],[41.59333954],[72.7548954],[97.91028396],[76.69288732],[75.78803374],[71.10848581],[71.17233989],[67.36979669],[54.57899602],[35.2999005],[31.01902717],[118.39299866],[22.04618939],[13.42159355],[77.24327828],[34.22602078],[43.56105841],[48.53507548],[101.34820009],[58.01171309],[40.34019024]
63,[11.33014124],[37.20400742],[52.0247185],[62.16802965],[70.89180136],[41.54913691],[72.70881793],[97.57909554],[76.53334193],[75.52572607],[71.23535437],[71.30523327],[65.25533168],[54.34333226],[35.02122641],[30.41239404],[118.64865618],[21.93013889],[13.56784012],[77.20439334],[33.94486042],[43.48038658],[48.41983167],[101.15697065],[58.17728922],[40.34113686]
64,[11.74747656],[37.70749254],[52.29040775],[63.18214651],[70.79046153],[41.9904898],[73.07409113],[98.4740448],[77.10666446],[75.60656574],[72.09975381],[71.69308407],[67.01954697],[55.13326468],[35.46649751],[30.68507237],[119.44918618],[22.10481021],[14.08155215],[77.7668851],[34.24705897],[44.0210842],[48.78747193],[102.14740212],[58.66265157],[40.70472684]
