,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
141,[37.81536909],[126.78199241],[52.09199547],[76.55882746],[50.19348799],[45.10100301],[28.87841287],[28.38768747],[46.13721982],[39.03781527],[111.63257882]
142,[37.74384915],[128.21945724],[52.6716389],[76.49166728],[48.64092417],[45.83195073],[29.05758469],[28.53291035],[45.83514965],[36.3746388],[111.28641715]
143,[37.75342973],[128.76217247],[52.60956196],[76.01343398],[49.98433514],[46.14081246],[29.0877098],[28.50106233],[46.68841685],[36.8448978],[112.1758379]
144,[37.65207565],[128.21778376],[53.06655616],[75.60093285],[49.53943754],[47.0659934],[28.43986948],[28.10515715],[46.63622815],[36.31073674],[111.62118695]
145,[37.29512654],[128.16266373],[52.28403458],[75.50414413],[49.24272522],[46.84310399],[28.27708909],[28.00282707],[46.40798572],[36.31924449],[112.34870047]
146,[37.62494912],[129.20734215],[52.18765423],[75.53280471],[49.65042911],[47.99200153],[27.8619982],[27.64968431],[46.34337227],[34.82338871],[109.66686804]
147,[37.50909652],[128.1932866],[51.5935313],[74.99432251],[49.10869151],[45.57510475],[28.52344811],[28.31285611],[46.0562312],[34.49420846],[109.59481998]
148,[37.44884703],[128.0020722],[50.89079853],[74.42655456],[49.06508994],[46.19723976],[27.93915938],[27.89742491],[45.83429963],[34.54785498],[109.77727844]
149,[37.85018531],[127.98455559],[51.83671186],[75.69685566],[49.61169506],[46.65194747],[27.76213099],[27.71936197],[45.36799316],[33.65373741],[109.2418004]
150,[37.56931007],[127.5527246],[51.8549263],[76.87422145],[49.58998334],[45.63832938],[27.31177858],[27.08862183],[45.31282278],[33.88573097],[108.17412026]
151,[37.60752869],[127.9385706],[49.94233283],[71.95615701],[48.28667921],[43.76967702],[26.83889153],[26.77499481],[44.46017228],[33.5435206],[106.33151702]
152,[37.69831483],[126.77172708],[49.83373679],[72.10892616],[48.45056794],[44.57294783],[26.86060963],[26.77011425],[45.03962747],[33.98532721],[106.76540629]
153,[37.73044],[127.23798604],[50.45533409],[72.77887461],[49.0719464],[44.08128831],[27.09179612],[27.01520227],[45.43145399],[35.20578426],[107.68644236]
154,[38.0490215],[127.07009966],[50.13916535],[73.29173841],[49.21190362],[42.86592415],[27.26787889],[27.012954],[45.48205168],[35.13568897],[107.81635823]
155,[38.36452964],[126.91555701],[50.58992599],[73.48962886],[49.47393275],[40.69454107],[26.74945408],[26.55300999],[45.41340259],[34.22296605],[107.12647162]
156,[38.50574435],[127.95445142],[50.51353853],[72.86275843],[48.88677417],[40.7474865],[26.86532352],[26.65423325],[45.04265482],[34.72352988],[107.70140636]
